Name,LiquidationFee,ListingDate,MaxPrice,MinPrice,TickSize,MaxQuantity,MinQuantity,StepSize,PricePrecision,QuantityPrecision,UnderlyingType
RSRUSDT,0.010000,2019-09-25 수 오전 8:00:00,10,0.000778,0.000001,50000000,1,1,6,0,Coin
LRCUSDT,0.010000,2019-09-25 수 오전 8:00:00,100,0.00520,0.00001,10000000,1,1,5,0,Coin
MATICUSDT,0.010000,2019-09-25 수 오전 8:00:00,137,0.00960,0.00010,10000000,1,1,5,0,Coin
OCEANUSDT,0.015000,2019-09-25 수 오전 8:00:00,100,0.00010,0.00010,10000000,1,1,5,0,Coin
CVCUSDT,0.025000,2019-09-25 수 오전 8:00:00,100,0.00517,0.00001,10000000,1,1,5,0,Coin
BELUSDT,0.020000,2019-09-25 수 오전 8:00:00,204,0.03610,0.00010,10000000,1,1,5,0,Coin
CTKUSDT,0.015000,2019-09-25 수 오전 8:00:00,180,0.02600,0.00010,10000000,1,1,5,0,Coin
AXSUSDT,0.020000,2019-09-25 수 오전 8:00:00,6989,0.08000,0.00100,10000000,1,1,5,0,Coin
ALPHAUSDT,0.015000,2019-09-25 수 오전 8:00:00,100,0.01760,0.00001,5000000,1,1,5,0,Coin
ZENUSDT,0.017500,2019-09-25 수 오전 8:00:00,10000,1.437,0.001,1000000,0.1,0.1,3,0,Coin
SKLUSDT,0.010000,2020-08-24 월 오전 7:00:00,100,0.00544,0.00001,10000000,1,1,5,0,Coin
GRTUSDT,0.010000,2020-12-18 금 오전 7:00:00,100,0.01398,0.00001,1000000,1,1,5,0,Coin
CHZUSDT,0.015000,2021-01-21 목 오전 7:00:00,100,0.00447,0.00001,10000000,1,1,5,0,Coin
SANDUSDT,0.015000,2021-01-18 월 오전 7:00:00,20000,0.00500,0.00010,10000000,1,1,5,0,Coin
ANKRUSDT,0.010000,2021-01-25 월 오전 7:00:00,2000,0.001510,0.000010,60000000,1,1,6,0,Coin
LITUSDT,0.015000,2021-02-17 수 오전 7:00:00,100000,0.077,0.001,5000000,0.1,0.1,3,0,Coin
UNFIUSDT,0.015000,2021-02-09 화 오전 7:00:00,10000,0.222,0.001,100000,0.1,0.1,3,0,Coin
REEFUSDT,0.010000,2021-01-25 월 오전 7:00:00,2000,0.000516,0.000001,200000000,1,1,6,0,Coin
RVNUSDT,0.010000,2021-02-23 화 오전 7:00:00,20000,0.00154,0.00001,10000000,1,1,5,0,Coin
SFPUSDT,0.015000,2021-02-24 수 오전 7:00:00,100000,0.0223,0.0001,5000000,1,1,4,0,Coin
XEMUSDT,0.010000,2021-03-02 화 오전 7:00:00,100000,0.0035,0.0001,10000000,1,1,4,0,Coin
BTCSTUSDT,0.040000,2021-03-03 수 오전 7:00:00,100000,0.668,0.001,1000000,0.1,0.1,3,0,Coin
COTIUSDT,0.010000,2021-03-09 화 오전 7:00:00,20000,0.00328,0.00001,5000000,1,1,5,0,Coin
CHRUSDT,0.010000,2021-03-12 금 오전 7:00:00,100000,0.0031,0.0001,1000000,1,1,4,0,Coin
MANAUSDT,0.010000,2021-03-14 일 오전 7:00:00,100000,0.0136,0.0001,1000000,1,1,4,0,Coin
ALICEUSDT,0.015000,2021-03-15 월 오전 7:00:00,100000,0.120,0.001,50000,0.1,0.1,3,0,Coin
HBARUSDT,0.010000,2021-03-17 수 오전 7:00:00,20000,0.00279,0.00001,10000000,1,1,5,0,Coin
ONEUSDT,0.010000,2021-03-17 수 오전 7:00:00,20000,0.00124,0.00001,10000000,1,1,5,0,Coin
LINAUSDT,0.010000,2021-03-17 수 오전 7:00:00,20000,0.00087,0.00001,100000000,1,1,5,0,Coin
STMXUSDT,0.010000,2021-03-17 수 오전 7:00:00,20000,0.00048,0.00001,50000000,1,1,5,0,Coin
DENTUSDT,0.010000,2021-03-23 화 오전 7:00:00,2000,0.000070,0.000001,500000000,1,1,6,0,Coin
CELRUSDT,0.010000,2021-03-29 월 오전 7:00:00,20000,0.00050,0.00001,10000000,1,1,5,0,Coin
HOTUSDT,0.010000,2021-03-30 화 오전 7:00:00,2000,0.000129,0.000001,50000000,1,1,6,0,Coin
MTLUSDT,0.020000,2021-03-31 수 오전 7:00:00,100000,0.0390,0.0001,1000000,1,1,4,0,Coin
OGNUSDT,0.015000,2021-03-31 수 오전 7:00:00,100000,0.0137,0.0001,10000000,1,1,4,0,Coin
NKNUSDT,0.010000,2021-04-08 목 오전 7:00:00,20000,0.00602,0.00001,10000000,1,1,5,0,Coin
SCUSDT,0.010000,2021-04-12 월 오전 7:00:00,2000,0.000368,0.000001,10000000,1,1,6,0,Coin
DGBUSDT,0.010000,2021-04-19 월 오전 7:00:00,20000,0.00131,0.00001,10000000,1,1,5,0,Coin
BAKEUSDT,0.012500,2021-05-18 화 오전 7:00:00,100000,0.0001,0.0001,5000000,1,1,4,0,Coin
GTCUSDT,0.017500,2021-03-15 월 오전 7:00:00,100000,0.200,0.001,100000,0.1,0.1,3,0,Coin
BTCDOMUSDT,0.015000,2021-06-17 목 오전 7:00:00,100000,10,0.1,10000,0.001,0.001,1,0,Index
IOTXUSDT,0.010000,2021-08-11 수 오전 7:00:00,20000,0.00050,0.00001,10000000,1,1,5,0,Coin
RAYUSDT,0.025000,2021-08-18 수 오전 7:00:00,100000,0.010,0.001,500000,0.1,0.1,3,0,Coin
C98USDT,0.010000,2021-08-23 월 오전 7:00:00,100000,0.0010,0.0001,2500000,1,1,4,0,Coin
MASKUSDT,0.017500,2021-07-16 금 오전 7:00:00,100000,0.0040,0.0001,5000000,1,1,4,0,Coin
ATAUSDT,0.010000,2021-08-30 월 오전 7:00:00,100000,0.0040,0.0001,10000000,1,1,4,0,Coin
DYDXUSDT,0.015000,2021-09-09 목 오전 7:00:00,100000,0.010,0.001,1000000,0.1,0.1,3,0,Coin
GALAUSDT,0.010000,2021-09-17 금 오전 7:00:00,20000,0.00050,0.00001,10000000,1,1,5,0,Coin
CELOUSDT,0.015000,2021-09-26 일 오전 7:00:00,100000,0.010,0.001,1000000,0.1,0.1,3,0,Coin
ARUSDT,0.015000,2021-09-28 화 오전 7:00:00,100000,0.010,0.001,1000000,0.1,0.1,3,0,Coin
KLAYUSDT,0.015000,2021-10-11 월 오전 7:00:00,100000,0.0010,0.0001,5000000,0.1,0.1,4,0,Coin
ARPAUSDT,0.010000,2021-10-18 월 오전 7:00:00,20000,0.00050,0.00001,10000000,1,1,5,0,Coin
CTSIUSDT,0.015000,2021-10-25 월 오전 7:00:00,100000,0.0010,0.0001,1000000,1,1,4,0,Coin
LPTUSDT,0.015000,2021-11-10 수 오전 7:00:00,100000,0.010,0.001,1000000,0.1,0.1,3,0,Coin
ENSUSDT,0.017500,2021-11-29 월 오전 7:00:00,100000,0.010,0.001,1000000,0.1,0.1,3,0,Coin
PEOPLEUSDT,0.010000,2021-12-23 목 오전 7:00:00,2000,0.00010,0.00001,10000000,1,1,5,0,Coin
ROSEUSDT,0.010000,2021-12-31 금 오전 7:00:00,10000,0.00010,0.00001,10000000,1,1,5,0,Coin
DUSKUSDT,0.015000,2022-01-06 목 오전 7:00:00,10000,0.00010,0.00001,10000000,1,1,5,0,Coin
FLOWUSDT,0.010000,2022-02-09 수 오전 7:00:00,100000,0.010,0.001,1000000,0.1,0.1,3,0,Coin
IMXUSDT,0.015000,2022-02-10 목 오전 7:00:00,100000,0.0010,0.0001,1000000,1,1,4,0,Coin
API3USDT,0.015000,2022-02-21 월 오전 7:00:00,10000,0.0010,0.0001,1000000,0.1,0.1,4,0,Coin
GMTUSDT,0.010000,2022-03-14 월 오전 7:00:00,10000,0.00010,0.00001,10000000,1,1,5,0,Coin
APEUSDT,0.015000,2022-03-17 목 오전 7:00:00,100000,0.0010,0.0001,1000000,1,1,4,0,Coin
WOOUSDT,0.010000,2022-04-07 목 오전 7:00:00,10000,0.00010,0.00001,10000000,1,1,5,0,Coin
FTTUSDT,0.025000,2022-04-14 목 오전 7:00:00,100000,0.0010,0.0001,1000000,0.1,0.1,4,0,Coin
JASMYUSDT,0.015000,2022-04-19 화 오전 7:00:00,100,0.000010,0.000001,50000000,1,1,6,0,Coin
DARUSDT,0.020000,2022-04-28 목 오전 7:00:00,100000,0.0010,0.0001,5000000,0.1,0.1,4,0,Coin
OPUSDT,0.015000,2022-06-01 수 오전 7:00:00,200,0.0001000,0.0001000,10000000,0.1,0.1,7,0,Coin
